patch r g b
a1 2943 4119 3097
a2 2514 5015 3352
a3 2310 6057 3724
a4 2248 6077 3641
a5 1885 1978 1614
a6 1663 2206 1737
a7 1545 2617 1893
a8 1475 3389 2093
a9 1372 953 809
a10 1325 970 842
a11 1276 978 848
a12 1247 1001 884
a13 1197 696 555
a14 1185 705 569
a15 1177 691 558
a16 1181 696 558
a17 1163 678 549
a18 1149 667 530
a19 1175 681 522
a20 4224 6893 5127
a21 2341 6245 5351
a22 1885 5701 5386
b1 3100 4328 3642
b2 2725 5239 4539
b3 2480 6145 5308
b4 2426 6383 5598
b5 1853 2119 2038
b6 1689 2508 2648
b7 1601 3203 3671
b8 1596 4327 4956
b9 1379 968 852
b10 1328 1004 938
b11 1284 1030 1000
b12 1253 1070 1089
b13 1250 706 550
b14 1185 721 565
b15 1177 714 616
b16 1257 771 629
b17 1177 738 611
b18 1225 718 605
b19 1221 710 522
b20 3066 6651 5481
b21 2006 6097 5574
b22 1358 1343 1370
c1 2881 3411 3184
c2 2700 3936 4285
c3 2625 4582 5768
c4 2566 4544 6085
c5 1554 1394 1479
c6 1486 1746 2494
c7 1499 2462 4622
c8 1578 3194 6809
c9 1320 904 819
c10 1286 948 946
c11 1256 1000 1099
c12 1236 1047 1236
c13 1317 718 539
c14 1187 742 560
c15 1172 735 677
c16 1332 844 696
c17 1193 807 700
c18 1298 766 677
c19 1293 747 517
c20 4058 6758 5651
c21 1428 2037 2582
c22 1318 1110 1078
d1 3138 3381 3291
d2 3153 3704 4321
d3 3233 4209 5872
d4 3085 4144 6177
d5 1547 1198 1248
d6 1551 1460 2049
d7 1628 2021 3805
d8 1789 3057 7041
d9 1281 822 728
d10 1275 866 863
d11 1265 913 1001
d12 1283 1171 1796
d13 1410 737 532
d14 1199 786 572
d15 1178 775 782
d16 1432 941 778
d17 1197 889 800
d18 1386 818 754
d19 1393 806 520
d20 1691 2824 3534
d21 1573 1361 1352
d22 1293 1009 988
e1 3455 3292 3243
e2 3785 3597 4394
e3 4164 4050 5955
e4 4117 4040 6264
e5 2164 1705 1799
e6 2329 1969 2741
e7 2661 2489 4400
e8 3104 3324 6973
e9 1456 969 882
e10 1481 1011 1013
e11 1513 1060 1159
e12 1629 1247 1746
e13 1535 763 534
e14 1212 837 580
e15 1170 819 900
e16 1565 1077 902
e17 1204 994 926
e18 1512 896 881
e19 1529 885 533
e20 1532 3429 6571
e21 1647 2581 4050
e22 1357 1479 1873
f1 5233 4799 4136
f2 6136 4808 4606
f3 6947 4907 5228
f4 7108 4858 5371
f5 3122 2168 2044
f6 3939 2216 2328
f7 5111 2400 2745
f8 6604 2771 3537
f9 1488 946 811
f10 1542 955 833
f11 1592 957 853
f12 1833 980 908
f13 1703 788 519
f14 1211 884 571
f15 1172 872 1062
f16 1753 1264 1060
f17 1220 1148 1111
f18 1689 996 1047
f19 1739 995 543
f20 1464 1307 1426
f21 1319 1281 1583
f22 1272 1068 1154
g1 4709 3645 2850
g2 5819 3534 2730
g3 6835 3461 2609
g4 6990 3405 2645
g5 2808 1752 1450
g6 3539 1708 1361
g7 4710 1749 1300
g8 6316 1891 1267
g9 1506 934 776
g10 1569 921 751
g11 1648 919 732
g12 1979 905 665
g13 1911 818 503
g14 1224 982 584
g15 1166 951 1293
g16 2001 1543 1298
g17 1246 1367 1369
g18 1922 1129 1291
g19 2003 1144 550
g20 1308 1093 1236
g21 1327 1289 1769
g22 1354 2329 5312
h1 4437 3516 2447
h2 5377 3324 2033
h3 6581 3221 1716
h4 6934 3076 1615
h5 2703 1708 1250
h6 3355 1603 1025
h7 4477 1601 867
h8 6289 1738 777
h9 1501 910 716
h10 1551 901 688
h11 1616 875 628
h12 1905 853 529
h13 2225 867 501
h14 1246 1127 602
h15 1178 1070 1642
h16 2348 1967 1633
h17 1275 1668 1706
h18 2240 1286 1601
h19 2371 1351 562
h20 1277 1016 1209
h21 1420 992 899
h22 1382 1144 1525
i1 3444 2830 1736
i2 3855 2658 1317
i3 4486 2517 1049
i4 6674 2457 801
i5 2125 1496 1087
i6 2236 1439 912
i7 2342 1395 797
i8 2941 1310 593
i9 1448 910 717
i10 1455 898 685
i11 1460 880 640
i12 1477 832 540
i13 2659 935 511
i14 1281 1363 637
i15 1201 1263 2204
i16 2835 2654 2137
i17 1323 2170 2248
i18 2658 1497 2039
i19 2913 1677 588
i20 1307 980 1190
i21 2406 2094 3402
i22 1615 982 1012
j1 4257 4495 2491
j2 4214 4313 1831
j3 4517 4069 1380
j4 6807 3398 840
j5 2213 1758 1232
j6 2188 1725 1036
j7 2185 1694 887
j8 2199 1624 650
j9 1433 905 710
j10 1413 897 681
j11 1393 874 627
j12 1373 840 551
j13 3240 1017 510
j14 1321 1730 676
j15 1249 1603 3223
j16 3626 3794 3022
j17 1414 3066 3215
j18 3297 1877 2912
j19 3786 2179 644
j20 1597 910 844
j21 4863 3263 5819
j22 6079 4910 5524
k1 2787 3202 1914
k2 2431 3533 1537
k3 2187 3915 1305
k4 2103 4288 1261
k5 1889 1560 1114
k6 1740 1591 960
k7 1632 1640 854
k8 1449 1823 682
k9 1393 897 701
k10 1354 896 678
k11 1313 885 634
k12 1250 863 557
k13 4028 1128 512
k14 1382 2372 745
k15 1328 2135 4848
k16 4888 5713 4317
k17 1564 4668 4637
k18 4298 2500 4373
k19 5120 2883 720
k20 4671 3838 3731
k21 5885 4883 3994
k22 5660 4085 2633
l1 3131 4319 2913
l2 2646 4983 2731
l3 2372 5647 2587
l4 2313 5693 2517
l5 1940 1936 1427
l6 1695 2127 1320
l7 1558 2518 1260
l8 1481 3257 1204
l9 1369 895 713
l10 1324 906 718
l11 1279 910 705
l12 1229 896 668
l13 4992 1279 529
l14 1471 3312 854
l15 1480 3115 7831
l16 6763 8684 6324
l17 1837 7651 6719
l18 5859 3581 6980
l19 6840 3702 832
l20 6549 7463 5097
l21 5597 7182 4589
l22 3895 6308 4030
gs0 1161 626 453
gs1 1221 683 509
gs2 1264 726 550
gs3 1303 763 585
gs4 1366 822 644
gs5 1418 875 693
gs6 1481 941 762
gs7 1558 1017 823
gs8 1650 1108 917
gs9 1760 1232 1040
gs10 1855 1332 1131
gs11 1971 1472 1251
gs12 2129 1638 1381
gs13 2300 1847 1537
gs14 2519 2137 1764
gs15 2810 2526 2074
gs16 3129 2998 2396
gs17 3554 3580 2841
gs18 4053 4303 3349
gs19 4691 5242 3976
gs20 5354 6343 4685
gs21 5710 6954 5022
gs22 6042 7459 5374
gs23 6922 7799 5468
