patch r g b
a1 2618 4373 3363
a2 2326 4860 3559
a3 2183 5370 3838
a4 2142 5383 3797
a5 1659 2462 1808
a6 1469 2768 1917
a7 1337 3177 2031
a8 1228 3806 2197
a9 1035 1128 864
a10 969 1164 889
a11 910 1197 912
a12 865 1220 924
a13 808 756 573
a14 793 785 584
a15 793 766 579
a16 796 768 572
a17 786 754 569
a18 788 749 561
a19 824 774 558
a20 3871 6521 5186
a21 2225 5681 4926
a22 1710 5314 4721
b1 2729 4542 3816
b2 2473 5111 4515
b3 2328 5637 5029
b4 2286 5776 5239
b5 1644 2636 2225
b6 1497 3082 2765
b7 1378 3775 3607
b8 1323 4704 4456
b9 1034 1132 893
b10 965 1185 974
b11 915 1247 1062
b12 867 1290 1130
b13 884 777 578
b14 804 813 581
b15 788 795 657
b16 896 872 655
b17 801 851 645
b18 887 811 646
b19 894 822 560
b20 2849 6069 5189
b21 1882 5625 4981
b22 1078 1692 1466
c1 2508 3829 3377
c2 2388 4254 4274
c3 2354 4741 5271
c4 2304 4725 5441
c5 1280 1702 1609
c6 1191 2093 2578
c7 1150 2696 4228
c8 1174 3161 5409
c9 957 1044 870
c10 910 1092 989
c11 866 1158 1155
c12 850 1240 1325
c13 988 797 579
c14 825 883 598
c15 791 834 741
c16 1013 998 753
c17 817 955 739
c18 981 862 729
c19 1003 894 569
c20 3730 6473 5504
c21 1188 2549 2600
c22 1026 1393 1185
d1 2713 3801 3475
d2 2728 4112 4373
d3 2782 4493 5421
d4 2655 4388 5539
d5 1260 1448 1400
d6 1260 1709 2215
d7 1308 2195 3773
d8 1409 2846 5789
d9 920 947 796
d10 898 984 925
d11 887 1036 1087
d12 901 1293 1901
d13 1115 831 588
d14 843 963 604
d15 798 886 866
d16 1159 1167 878
d17 832 1088 853
d18 1096 932 840
d19 1136 986 579
d20 1532 3420 3512
d21 1338 1716 1490
d22 989 1253 1099
e1 2993 3796 3527
e2 3255 4052 4505
e3 3529 4390 5591
e4 3486 4318 5736
e5 1840 2072 2014
e6 1969 2325 2999
e7 2199 2730 4406
e8 2523 3237 6044
e9 1143 1144 983
e10 1161 1160 1085
e11 1196 1212 1245
e12 1325 1394 1897
e13 1258 863 591
e14 865 1060 618
e15 792 933 1002
e16 1313 1360 1024
e17 852 1245 986
e18 1237 1023 985
e19 1299 1113 595
e20 1208 3633 5162
e21 1428 3041 3843
e22 1069 1830 1963
f1 4476 5304 4532
f2 4923 5355 4992
f3 5206 5425 5483
f4 5273 5353 5603
f5 2639 2610 2341
f6 3365 2643 2688
f7 4241 2798 3192
f8 4925 3091 4098
f9 1181 1115 894
f10 1230 1096 906
f11 1302 1114 955
f12 1521 1121 1057
f13 1441 901 596
f14 891 1183 634
f15 794 1000 1191
f16 1524 1633 1228
f17 892 1485 1189
f18 1416 1139 1186
f19 1520 1282 630
f20 1223 1646 1555
f21 1022 1577 1683
f22 961 1326 1279
g1 4062 4184 3283
g2 4716 4116 3262
g3 5116 4007 3246
g4 5154 3907 3222
g5 2345 2116 1694
g6 3011 2039 1618
g7 3970 2030 1604
g8 4756 2059 1591
g9 1189 1094 855
g10 1268 1065 825
g11 1364 1071 832
g12 1659 1041 803
g13 1638 938 597
g14 935 1361 669
g15 801 1103 1461
g16 1763 2002 1512
g17 935 1802 1456
g18 1624 1286 1463
g19 1767 1477 656
g20 1031 1371 1393
g21 1038 1563 1911
g22 941 2268 4618
h1 3916 4042 2859
h2 4554 3897 2526
h3 5093 3762 2225
h4 5174 3548 2092
h5 2275 2091 1465
h6 2866 1937 1238
h7 3854 1896 1100
h8 4756 1876 983
h9 1197 1090 809
h10 1259 1062 760
h11 1341 1035 705
h12 1628 999 617
h13 1913 993 608
h14 979 1586 703
h15 814 1237 1834
h16 2082 2506 1889
h17 984 2225 1821
h18 1880 1469 1838
h19 2111 1726 692
h20 979 1250 1382
h21 1172 1267 1067
h22 1091 1349 1684
i1 3038 3351 2052
i2 3451 3165 1623
i3 3994 3004 1340
i4 5036 2755 1041
i5 1811 1874 1287
i6 1897 1802 1102
i7 1991 1751 975
i8 2544 1594 722
i9 1147 1109 814
i10 1156 1082 750
i11 1168 1064 703
i12 1222 1036 624
i13 2272 1048 613
i14 1026 1874 734
i15 827 1407 2338
i16 2535 3232 2413
i17 1063 2866 2345
i18 2224 1716 2371
i19 2658 2089 739
i20 1013 1170 1363
i21 2040 2427 3594
i22 1349 1177 1221
j1 3866 4922 2946
j2 3896 4723 2253
j3 4160 4452 1726
j4 5254 3778 1087
j5 1930 2238 1474
j6 1899 2188 1254
j7 1891 2127 1063
j8 1923 2027 790
j9 1129 1112 803
j10 1111 1106 764
j11 1089 1072 690
j12 1082 1053 616
j13 2799 1122 618
j14 1091 2266 787
j15 848 1692 3184
j16 3257 4293 3367
j17 1178 3777 3213
j18 2809 2134 3312
j19 3494 2551 790
j20 1352 1099 1026
j21 4014 3467 5517
j22 4830 5407 5576
k1 2474 3658 2224
k2 2220 3800 1773
k3 2042 3998 1523
k4 1977 4161 1431
k5 1641 2021 1325
k6 1516 2068 1146
k7 1416 2146 1014
k8 1235 2350 826
k9 1085 1125 808
k10 1037 1125 761
k11 986 1116 698
k12 917 1122 622
k13 3486 1214 621
k14 1181 2823 863
k15 906 2125 4444
k16 4375 6015 4710
k17 1330 4968 4337
k18 3635 2712 4628
k19 4474 3179 881
k20 4075 4395 4118
k21 4836 5449 4522
k22 4637 4634 3170
l1 2788 4604 3205
l2 2443 4936 3042
l3 2251 5197 2885
l4 2198 5202 2790
l5 1717 2470 1651
l6 1509 2710 1532
l7 1368 3103 1443
l8 1268 3625 1382
l9 1065 1128 827
l10 999 1147 818
l11 942 1161 786
l12 885 1172 757
l13 4175 1344 646
l14 1281 3414 950
l15 986 2641 5878
l16 5484 7937 6348
l17 1526 6335 5500
l18 4582 3508 6248
l19 5163 3941 1026
l20 5280 7253 5567
l21 4852 7002 5133
l22 3553 6050 4386
gs0 807 733 537
gs1 859 801 593
gs2 905 850 638
gs3 962 918 697
gs4 1030 993 759
gs5 1119 1092 839
gs6 1189 1169 904
gs7 1278 1267 969
gs8 1383 1401 1079
gs9 1487 1552 1197
gs10 1597 1711 1314
gs11 1718 1915 1468
gs12 1864 2116 1615
gs13 2036 2384 1800
gs14 2228 2701 2027
gs15 2486 3110 2366
gs16 2802 3590 2734
gs17 3192 4110 3191
gs18 3670 4777 3730
gs19 4226 5615 4447
gs20 4681 6506 5088
gs21 4858 6867 5373
gs22 4931 7054 5533
gs23 5157 7228 5640
